AKDT, Max TemperatureF, Mean TemperatureF, Min TemperatureF,Max Dew PointF, MeanDew PointF, Min DewpointF, Max Humidity, Mean Humidity,  Min Humidity,  Max Sea Level PressureIn, Mean Sea Level PressureIn,  Min Sea Level PressureIn, Max VisibilityMiles,  Mean VisibilityMiles,  Min VisibilityMiles, Max Wind SpeedMPH,  Mean Wind SpeedMPH,  Max Gust SpeedMPH,PrecipitationIn,  CloudCover,  Events,  WindDirDegrees
abc,63
abc, 64
abc, 71
abc, 64
abc, 59
abc, 69
abc, 62
abc, 61
abc, 55
abc, 57
abc, 61
abc, 57
abc, 59
abc, 57
abc, 61
abc, 64
abc, 61
abc, 59
abc, 63
abc, 60
abc, 57
abc, 69
abc, 63
abc, 62
abc, 59
abc, 57
abc, 57